make,model,trim,colour,year,transmission,fuel_type,body_type,description,features,condition_grade,status,opens_at,closes_at
Hyundai,Sonata,Limited 2.0T,Black,2015,automatic,petrol,sedan,"Hyundai Sonata Limited 2.0T in Black",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Hyundai,Sonata,Limited,Red,2019,automatic,petrol,sedan,"Hyundai Sonata Limited in Red",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Hyundai,Sonata,Limited,Red,2014,automatic,petrol,sedan,"Hyundai Sonata Limited in Red",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Hyundai,Sonata,Limited,Black,2015,automatic,petrol,sedan,"Hyundai Sonata Limited in Black",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Mercedes Benz,C300,4MATIC,white,2016,automatic,petrol,sedan,"Mercedes-Benz C300 4MATIC in White",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Kaola,ARC FOX,Sport,Purple,2025,automatic,electric,suv,"Kaola ARC FOX Sport in Purple",[],A,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Kaola,ARC FOX,Sport,Light Blue,2025,automatic,electric,suv,"Kaola ARC FOX Sport in Light Blue",[],A,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Lexus,ES350,Base,White,2014,automatic,petrol,sedan,"Lexus ES350 Base in White",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Lexus,GX460,AWD,Grey,2010,automatic,petrol,suv,"Lexus GX460 AWD in Grey",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Mercedes Benz,ML350,Luxury,Black,2011,automatic,petrol,suv,"Mercedes-Benz ML350 Luxury in Black",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Mercedes Benz,ML350,Luxury,Brown,2012,automatic,petrol,suv,"Mercedes-Benz ML350 Luxury in Brown",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Mercedes Benz,ML350,Limited,Silver,2012,automatic,petrol,suv,"Mercedes-Benz ML350 Limited in Silver",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Mercedes Benz,GLE350,Luxury,Blue,2016,automatic,petrol,suv,"Mercedes-Benz GLE350 Luxury in Blue",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Mercedes Benz,GLE350,Luxury,Black,2017,automatic,petrol,suv,"Mercedes-Benz GLE350 Luxury in Black",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Mercedes Benz,ML350,Luxury,White,2015,automatic,petrol,suv,"Mercedes-Benz ML350 Luxury in White",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Mercedes Benz,GLE350,4MATIC,Grey,2017,automatic,petrol,suv,"Mercedes-Benz GLE350 4MATIC in Grey",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
Mercedes Benz,GLE350,Luxury,White,2016,automatic,petrol,suv,"Mercedes-Benz GLE350 Luxury in White",[],B,scheduled,2026-09-15T09:00:00Z,2026-09-22T18:00:00Z
